VehicleID,RegNo,Make,ModelName,Year,CustomerID
1,XYZ-1001,Toyota,Camry,2018,1
2,ABC-2002,Honda,Civic,2019,2
3,LMN-3003,Ford,Focus,2017,3
4,PQR-4004,Chevrolet,Malibu,2020,4
5,DEF-5005,Nissan,Altima,2016,5
6,UVW-6006,Hyundai,Elantra,2021,6
7,GHI-7007,Kia,Forte,2018,7
8,RST-8008,Subaru,Impreza,2019,8
9,JKL-9009,Volkswagen,Jetta,2020,9
10,MNO-1010,Toyota,Corolla,2017,10
11,VWX-2020,Honda,Accord,2022,11
12,YZA-3030,Ford,Fusion,2015,12
13,BCD-4040,Chevrolet,Cruze,2018,13
14,EFG-5050,Nissan,Sentra,2019,14
15,HIJ-6060,Hyundai,Sonata,2020,15
16,KLM-7070,Kia,Optima,2016,16
17,NOP-8080,Subaru,Legacy,2021,17
18,QRS-9090,Volkswagen,Passat,2018,18
19,TUV-0101,Toyota,Highlander,2019,19
20,WXY-1212,Honda,CR-V,2020,20
21,ZAB-2323,Ford,Escape,2017,21
22,CDE-3434,Chevrolet,Equinox,2022,22
23,FGH-4545,Nissan,Rogue,2015,23
24,IJK-5656,Hyundai,Tucson,2018,24
25,LMN-6767,Kia,Sportage,2019,25
26,OPQ-7878,Subaru,Forester,2020,26
27,RST-8989,Volkswagen,Tiguan,2016,27
28,UVW-9090,Toyota,RAV4,2021,28
29,XYZ-0110,Honda,Pilot,2018,29
30,ABC-1221,Ford,Explorer,2019,30
31,DEF-2332,Chevrolet,Tahoe,2020,31
32,GHI-3443,Nissan,Pathfinder,2017,32
33,JKL-4554,Hyundai,Santa Fe,2022,33
34,MNO-5665,Kia,Sorento,2015,34
35,PQR-6776,Subaru,Outback,2018,35
36,STU-7887,Volkswagen,Atlas,2019,36
37,VWX-8998,Toyota,Sienna,2020,37
38,YZA-9009,Honda,Odyssey,2016,38
39,BCD-0111,Ford,Mustang,2021,39
40,EFG-1222,Chevrolet,Camaro,2018,40
41,HIJ-2333,Nissan,Maxima,2019,41
42,KLM-3444,Hyundai,Kona,2020,42
43,NOP-4555,Kia,Soul,2017,43
44,QRS-5666,Subaru,Crosstrek,2022,44
45,TUV-6777,Volkswagen,Golf,2015,45
46,WXY-7888,Toyota,Prius,2018,46
47,ZAB-8999,Honda,Fit,2019,47
48,CDE-9000,Ford,Fiesta,2020,48
49,FGH-0112,Chevrolet,Spark,2016,49
50,IJK-1223,Nissan,Versa,2021,50
